cd_empresa,cnpj_empresa,empresa
1513,59588111000103,HQ0O<F#HQW`>PYWS]UX+5(
1521,05216804000146,"H++PW6!6@`"">TAF#(=.!=$"
367,61562112000805,"E+;VT,4G9D+5!+<>Y$,IU+"
393,04144508000114,"N%FR_Q<Z""[S@Y#I_#:NT_#"
1584,23729377000181,D6E>J93/R>Y(Y-(P8#26T.
1515,04959158000144,P9C45Y6NM(9^E-LU)\D1]$
402,03775758000190,"CX3.63\/<-1*!L?3E;^-D,"
1514,07794384000100,J^/'SW@<UM?VJU1AS\S7S+
1554,00950001001250,"H?4RI=>(""'#E/8[Q'96!5,"
356,10760260000119,D24W]3Q6.5!Q0309[&1-4$
278,04392420000111,IG3-2JB--RG!2C_#8BB=P#
275,20775003001003,"M3.47SOS1@>JUVB55/,E=*"
1541,11010481000132,"HB[UA&J[!MX(TU,95LJ8!*"
1537,02804480000179,"D.Y9V,39,I1110S%7/TS`."
1543,43214055000107,"DF@OW17PA,0W3F-K?69W#!"
473,03188198000410,AV@@G#$E53M`U@V*J;O]7(
1574,00875135000109,"N2X$6;</0XV',E2R,??XS%"
1606,10616042000105,IP)SF<@J^53[KEL_/?Y84*
1598,35943604000156,GN==G/T!P52(U7GGC-/J($
1110,00904728000148,"H<G[,@2#23""KS[[<-)ZI7!"
309,60813540000116,F]=[G(>V8\E-C#!]?(NBE)
1564,43948215000141,"A!2`].5R)=<R%PG!S<P.2"""
1550,47067525000108,K\):5Q=^<[B:=WDRC(TA/)
983,09427183000109,"J6^=SW""Q!!Z5[<P'3%*'I/"
1586,13691751000143,"LIER$X,).(X8-9]M6@IZR0"
1572,03447568000143,"GSB*\L<=,O&.&+A\1/V$G."
1570,67148692000190,"J2[6@,N-(*N:X]]`_VVQN)"
314,13750746000164,M2$!U*%7D[P=W]5VG%(&]#
1538,61081253000121,"AJX^$""RJ[&'S9_`5ZC`=@)"
1301,02877283000180,J4J`>14:.]1G*\9#2!].K(
593,32929819000124,"A,DA9IER4G.4=[4PA2PNX)"
1556,33176249000454,PQY83):J^VC7*B/PY$^'T-
1259,20855875000182,C+3DY9Z1%PH$GLU'+J0+5#
1595,12320079000117,A:[+:A@%J2\RTPK$:%&*B*
1563,33744277000188,"EA4D)UU:UW],M!^&9+%+N)"
1232,45694447000146,O<;`1GY.MK;EEN>QN$V2*-
1011,62202189000152,E$M.<#LWC([>DAFE)OMZH!
218,73110876000164,PLLU\XXFA@D#F5Y5SR0JT#
296,18662001000167,"D1+:""R.9T'((6Q>4'3!:20"
292,07326840000198,"I_H""734N_6[V80H`X\B(X!"
487,44015477001430,"O)JH/"":""^OMB,J'(?Z!(<%"
333,10685570000116,K2-AUT_Y;58M/<GDK1#*?.
1600,04177928000288,"A3XGO93OT&!3""!Q-\N$-6,"
1610,05617589000276,KZNPB2^9]RA$Z*1';1#.D-
1576,59105262000163,"I_?A$2B3TB^^&UE""""""8GK"""
1597,00168403000144,"E%.1%:=%M""F_:2)9B6A,4/"
1539,51756080000140,"J^51T'/1Z>F&2>HD%TOVX,"
304,04232671000139,"E]-9[.'5LO7X2&-,7:;9,$"
376,58069360000120,I'*;2%32L=>J2^W0@\XX1(
1581,60342435000100,"K#3ZWD%&MR@SLBD0I,Y!C%"
1559,06977751000149,IZSW1XTU4W^0=AQI9>;DJ(
1577,34008227000103,"N-YG,W%RE6%,AG8<4P#1F$"
220,60561719009503,D+VBGL/2%TUOL]4P-?N2T+
1524,29884632000147,"LS(I_""E.E*76WLDZ""LG!Y!"
1596,43218296000124,"I_""P+(C6<8UD3,=S2>_V,"""
1512,01299011000187,"M?KS3]D%+,S/X@"">:XT\/!"
989,33616707000186,"PO7K'KF?:$+,1O""650Q8G-"
1573,02890199000104,"MVPE?1I(5R3K&""<S*D6-L-"
313,05940894000113,N'_[[]6H@II>F(4P4D'69(
140,07432517000360,"GR6D?HCRR,)S%N?DAG""-O/"
312,48083919000112,"D5S""*3@(VZ+@-14N(GQ030"
1518,09306896000106,LM$A;N.)9KN%](((N0H0&&
328,60662996000122,FM+ZC>$A)W2CR]Q3TLE:#+
4,61797924001399,"NS%L@Z`_^T=\F]AE7""VZI$"
1551,00900441000140,E93?RA6YF3IDY&)1#K+0D!
378,96231568000192,"FG\X,3T!#M[HINWUNZ*14*"
991,47508411007835,"KN!=V?VH.=VQ&@SLT]((Z,"
1580,12020002000121,J]S.8M[CAYOFHUU76V3_#*
1304,02455233000104,FSIJ!31;-^PEQS8/G9VH3-
273,30092431000196,MW'*;E&8J^-J:K#45C+FO-
1266,52636412000116,"E*!%X#3O4P#&,]D9AGAL;/"
1604,19093204000142,G\)@-Y[E8\LV2/^@WJ!X3)
1544,19199348000188,FN*;70U%+H7#*!39ODA+L/
1583,65527939000154,EKC^?*\#-7:JE\!@8EE@%*
1607,23167140000154,D[Y43[U9X_?JRGD894!I4(
1590,17388003000732,"EQWZ&NJ6ABH4""$A%3.KUD%"
1503,06349959000113,EFUP\B(R#XUP%/:$GY+2**
1549,93189694001967,JEE//AGFGD`-P*HD(-FVU!
1608,22599333000111,"P5!#9`/<7#4(*0!=T)9,I!"
1567,04177443000103,"BQ/HY-,E8GM$0T,5@LJJR"""
397,67313221007950,HYO-J._MB*LFH1M*D&PDN-
1351,17855050000153,"LD\=*QW?;(""+WDY[:EL\T*"
1578,61451431000169,"D!-%A715RRRI=DGFAN$1R"""
387,05166785000190,N9W9E%$:DHZ'/Z:Y&E(E*%
1585,61526836000461,"LDDX/6E#*+$)$D:CTJ4H["""
1346,17668689000120,"E,""%WV2^QHNP6_E6A^0\*%"
1609,33020355000100,"OT<6<LS:5B)-;.TK94?S2"""
1568,58397563000145,"G>5?NS@A4A<""7K*#NJ'4S!"
1558,19503353000132,F$>3C$K_%V2$1Q6W+>#H`)
223,59274167000436,D-=W_6B>W2R-!2)@M:^V3(
1350,27547607000142,D`;-T*+63_[[6?`]HR6\P$
1562,45956679000478,I7Z$>P7]X5QLW.;5NN%14(
1356,61486650000183,"I&$NPFC;[M6!,R06W\^`V."
1555,62500855000139,"I0LPC9%5ZPE]T;%""$!@)K,"
1548,45246410000155,LN)]AX.Y$5<LT4SA]+WYA%
500,23097104002377,NFOV&%+WU'`N@Q!2#+6@;-
1575,02976581000399,"P[SE)+TM:?D@&A-FJ65(`"""
1373,18511742000147,ESRG`1A)K7#DA'@Z2N-F-/
297,13503980000197,EH*>TFXX/C;@CWZ>J#(Y-*
987,05359075000187,"E37H$""A`BBY/>=F9`,10)."
1582,50995543000164,P@(R+5G]]COCU!W^B@2\D-
1546,45987245000192,B6]M/UXGNDF44^B23O.Z#+
1599,30306294000145,C-ZH@NY5[G:P`8`9>GET*-
381,27819937000140,"J""7+:W.?63@EVV%>\$\Q++"
683,02533940000171,G0M]%-3F(`03XJA>#NYCO+
217,02325391000140,"I8CDP.EIA,-Z[KE:$:QK#("
293,51931954000159,LZZ-'?7A40YO]'@I@&SJ*)
1588,02964380000100,"C>=0JF'S`\-W(#WX#,#2.+"
494,03818451000129,"AF!F`&,+'^=VF3FYU`A,%("
162,22086683000184,N;6XI!9/CS=\TW.<M0\GI$
1231,33593575000114,"H,*<;@VBZ;V;65B.)^_QX!"
1553,03525685000188,"L;U%$Y/]G4E/>?:HA4ARZ,"
1527,05364767000113,"J&GP-6*\YV\^?O""CY_Y2L"""
294,08261247000173,GI</9)I'))7`@-UX*\#SM.
982,92228410000102,A^K_5F-3WWXYL=6)HGLK8&
271,14012554004615,"GZ!D92W*L9ZL'T:ZDE_EL,"
1262,61064838000133,"CSCEZ=,?#Q4'2+$MR)KA?("
417,09074885000490,E=AW.*BA?:@9[Y2O*.^4E$
1602,43854903000142,"CN3F;!;][B_89:KXGJKI,/"
213,06057223000171,"C#2;BUH60C.JQ""*`,,R!&,"
1593,04788980000190,GCB57[[S13^9_9<3DUQ]M)
445,58731662000111,"A3W,""""C(A-Z1;M$$IL^[<+"
1592,43110170000131,IP5SPHCXS$*!\+D<V.P/%'
303,16670085000155,IAROGT<@5>^'!9\SCR[7B'
277,27632330000318,O`8@8#NE`_V_E8B:)GTA5'
1274,04628426000226,"A1.SU\MP#WU+TI+SP,5YB$"
1587,33200049000147,HZITI/23H<52P/=>_9NG])
355,60398369000479,"P!+GGA^NM3V/_6\D*2VI?,"
390,07755913000167,"LMWM5S)14]'\WGM[Z8""3/&"
282,12420164000157,G9@)>VZ<^W#R)`(T0>GT6-
